category;title;tags;description;image;duration_txt;duration_sec;first_broadcast;synopsis_small;synopsis_medium;synopsis_large
Arts;Civilisations - Series 1: 7. Radiance;BBC, iPlayer, TV, Civilisations, Series 1: 7. Radiance;Simon Schama starts his meditation on colour and civilisation in Amiens and Chartres.;https://ichef.bbci.co.uk/images/ic/1200x675/p05zmtr6.jpg;59 mins;3540;1 Mar 2018;Simon Schama starts his meditation on colour and civilisation in Amiens and Chartres.;Simon Schama starts his meditation on colour and civilisation with the great Gothic cathedrals of Amiens and Chartres. He then moves to 16th-century Venice.;Simon Schama starts his meditation on colour and civilisation with the great Gothic cathedrals of Amiens and Chartres. He then moves to 16th-century Venice, where masterpieces such as Giovanni Bellini's San Zaccaria altarpiece and Titian's Bacchus and Ariadne contested the assumption that drawing would always be superior to colouring. As the Baroque took hold in enlightenment Europe another Venetian, Giambattista Tiepolo, created a ceiling fresco Apollo and the Four Continents at the Bishop's palace in WÃ¼rzburg.In a glorious sequence Simon celebrates this grand opera of light, colour, and dancing line: a dizzying lift-off into 18th-century elation. But if light could open the gates of ecstasy it could also drop art into the abyss. Francisco Goya began by working in the Venetian tradition but in the last years of his life his Black Paintings drained colour from the world of light. The art of colour discovered a new mission which somehow sustained the old: how to make life in cities bearable, even beautiful. Simon travels to Japan to where in the 18th and 19th century an urban explosion generated a demand for cheap, mass produced woodblock prints suffused with dazzling colour. These prints by artists such as Hokusai were hugely influential on the impressionists and postimpressionists. Simon ends the film in Matisse's great chapel at Vence, where colour is used - against a backdrop of the Second World War - once more to enrapture, enlighten and as a path to God.
Arts;Going to Work - The Rag Trade;BBC, iPlayer, TV, Going to Work, The Rag Trade;Film about the fashion industry in the 60s. (1966);https://ichef.bbci.co.uk/images/ic/1200x675/p026txxd.jpg;19 mins;1131;21 Nov 1966;Film about the fashion industry in the 60s. (1966);First transmitted in 1966, a look at some of the many sides of the hectic fashion industry in the 60s.;First transmitted in 1966, Going to Work looks at some of the many sides of the hectic fashion industry in the 60s.The programme features interviews with fashion designers Mary Quant and James Wedge, catwalk shows of the 60s, and follows the process of turning wool into finished cloth.
Arts;imagine... - 2021: Bernardine Evaristo: Never Give Up;BBC, iPlayer, TV, imagine..., 2021: Bernardine Evaristo: Never Give Up;Alan Yentob explores the life and work of Anglo-Nigerian author Bernardine Evaristo.;https://ichef.bbci.co.uk/images/ic/1200x675/p09t522h.jpg;70 mins;4183;10:35pm 2 Sep 2021;Alan Yentob explores the life and work of Anglo-Nigerian author Bernardine Evaristo.;Alan Yentob explores the remarkable life and work of the trailblazing Anglo-Nigerian writer Bernardine Evaristo, author of the Booker Prize-winning novel Girl, Woman, Other.;Alan Yentob explores the remarkable life and work of the trailblazing Anglo-Nigerian author Bernardine Evaristo, whose Booker Prize-winning novel Girl, Woman, Other has become a global phenomenon in recent years. With great wit and wisdom, Evaristo lays bare her unique approach to creativity across the decades as her latest book, an inspirational non-fiction work called Manifesto: On Never Giving Up, is published.
Arts;Inside Cinema - Shorts: 70. The MacGuffin;BBC, iPlayer, TV, Inside Cinema, Shorts: 70. The MacGuffin;These objects really tie a film together, but what precisely is a MacGuffin?;https://ichef.bbci.co.uk/images/ic/1200x675/p09t2nxq.jpg;7 mins;393;18 Aug 2021;These objects really tie a film together, but what precisely is a MacGuffin?;These objects really tie a film together, but what precisely is a MacGuffin? Jake Cunningham on the storytelling jargon meaning something that motivates a film's characters.;What precisely is a MacGuffin? Jake Cunningham on the piece of storytelling jargon that refers to something that motivates a film's characters and plot but is, it could be argued, ultimately insignificant.From the Maltese Falcon to the elusive Rabbit's Foot in Mission: Impossible III, to The Dude's rug in The Big Lebowski, these objects really tie a film together.
Arts;New Creatives - Our Largest;BBC, iPlayer, TV, New Creatives, Our Largest;A young father and son discuss nothing and anything on a clumsy gathering mission.;https://ichef.bbci.co.uk/images/ic/1200x675/p081p0nf.jpg;6 mins;344;22 Nov 2019;A young father and son discuss nothing and anything on a clumsy gathering mission.;No data found;A young father and son discuss nothing and anything on a clumsy gathering mission. They carry an organ. They race. They carry an arch. They race. A ceremony begins.New Creatives is co-funded by Arts Council England and BBC Arts.
Arts;BBC Arts - The 2021 Booker Prize;BBC, iPlayer, TV, BBC Arts, The 2021 Booker Prize;Samira Ahmed presents live coverage of the ceremony for best fiction book of the year.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b1tcvy.jpg;42 mins;2542;3 Nov 2021;Samira Ahmed presents live coverage of the ceremony for best fiction book of the year.;Samira Ahmed presents live coverage of the ceremony for best fiction book of the year. Guests include Ben Okri, last year's winner Douglas Stuart and HRH The Duchess of Cornwall.;BBC Arts, Radio 4's Front Row and BBC News join forces for live coverage of the 2021 Booker Prize, awarded to the best fiction book of the year. Samira Ahmed hosts the ceremony from the historic BBC Radio Theatre at Broadcasting House in London.The shortlisted authors are joined by special guests including 1991 Booker Prize winner Ben Okri, last year's winner Douglas Stuart and HRH The Duchess of Cornwall.
Arts;Building Sights - Series 3: 3. Lloyd's Building;BBC, iPlayer, TV, Building Sights, Series 3: 3. Lloyds Building;Artist Michael Craig-Martin marvels at Lloyds of London. (1991);https://ichef.bbci.co.uk/images/ic/1200x675/p01rrq7t.jpg;10 mins;571;29 Jan 1991;Artist Michael Craig-Martin marvels at Lloyd's of London. (1991);First transmitted in 1991, artist Michael Craig-Martin marvels at Lloyd's of London.;First transmitted in 1991, artist Michael Craig-Martin marvels at the Lloyd's of London building by Richard Rogers.
Arts;Inside Culture - Series 4: 2. When Mary Met Hillary Clinton;BBC, iPlayer, TV, Inside Culture, Series 4: 2. When Mary Met Hillary Clinton;Mary meets former US Secretary of State, First Lady and senator Hillary Rodham Clinton.;https://ichef.bbci.co.uk/images/ic/1200x675/p09xc7vs.jpg;29 mins;1748;8pm 1 Oct 2021;Mary meets former US Secretary of State, First Lady and senator Hillary Rodham Clinton.;In this very special episode of Inside Culture, Mary Beard meets former US Secretary of State, First Lady, senator and presidential candidate Hillary Rodham Clinton.;In this very special episode of Inside Culture, Mary Beard meets former US Secretary of State, First Lady, senator and presidential candidate Hillary Rodham Clinton.In a wide ranging discussion, Mary asks Secretary Clinton about women and power and her long career at the heart of American politics. She also asks Secretary Clinton about the culture that has inspired, sustained or challenged her throughout her life, and the surprising role that the arts can play in politics and in the lives of political leaders. A best-selling author herself, Secretary Clinton will also talk to Mary about her own creative process.
Arts;Francis Bacon: Fragments Of A Portrait;BBC, iPlayer, TV, Francis Bacon: Fragments Of A Portrait;A film study of Francis Bacons paintings, which have been called sick and corrupt. (1966);https://ichef.bbci.co.uk/images/ic/1200x675/p02tk9gm.jpg;44 mins;2654;18 Sep 1966;A film study of Francis Bacon's paintings, which have been called sick and corrupt. (1966);Francis Bacon's paintings have been called sick and corrupt. He has also been hailed as the greatest British painter since Turner. (1966);Francis Bacon's paintings have been called sick and corrupt. He has also been hailed as the greatest British painter since Turner. This film study - Bacon's first appearance on BBC Television - shows his work and its sources, and critically assesses his paintings. (1966)
Arts;Inside America's Treasure House: The Met - Series 1: Episode 1;BBC, iPlayer, TV, Inside Americas Treasure House: The Met, Series 1: Episode 1;The Metropolitan Museum of Arts 150th anniversary year is more crisis than celebration.;https://ichef.bbci.co.uk/images/ic/1200x675/p09vh6t9.jpg;59 mins;3517;9pm 13 Sep 2021;The Metropolitan Museum of Art's 150th anniversary year is more crisis than celebration.;Just as it is getting ready to celebrate its 150th anniversary celebrations, America's biggest art museum is forced to close by the pandemic. This is the inside story of its climb back to reopening.;The series begins in spring 2019, when the Metropolitan Museum of Art is in its pomp – the coffers full, visitor numbers are up and staff preparing to mark, in one year's time, the museum’s 150th anniversary. The museum has long been planning a series of stand-out exhibitions and events. The art press gather for a breakfast in the American Wing sculpture court, surrounded by treasures reflecting the tastes of the philanthropist founders of the Metropolitan. These were new-money industrialists and financiers, who believed that the lives of New York's teeming millions would be improved by their proximity to beauty. That beauty, however, was vested almost exclusively in the European arts and the artefacts of classical civilisations. The museum is aware that the tastes of the Gilded Age aren't for everyone, and a dance display by the House of Gorgeous shows they're awake to the woke.In his fifth-floor office sits Met president and CEO Dan Weiss, the art historian recently appointed to steer the largest art museum in the Americas out of a period of falling visitor numbers and financial turbulence. Overlooking Central Park, he revels in a painting by Alfred Sisley, a print of which once graced his college digs. Those who built the Met in 1870 wanted an American Louvre, an audacious vision, he says, considering they had no art. The likes of JP Morgan, a previous president, simply spent and lent big, snapping up artefacts all over the world and donating their own collections. Weiss is also spending big for next year's special exhibitions and, with the Met’s director Max Hollein, planning a slew of great events. He's also splashing out on capital projects like the new six-acre glass roof for the European Paintings gallery, at $150m, just one improvement that will make 2020 a landmark year.  The inner workings of the Met are revealed with excursions into various departments, and the warren of labs, workrooms and archives above and deep below the public areas. In the Arms and Armour workshops, they're repairing gauntlets before sending some of their massive collection off to Vienna, and preparing for the arrival from Europe of new old iron and steel for a great show of German armour, The Last Knight.There's more quiet frenzy in the Costume Institute. The conservators have just recovered from the 2019 Met Gala, the starry night where celebrities parade for the camera and make the donations that fund this department. Staff have just delivered this year’s annual show, Camp, a pink celebration of costume drama that is pulling in the crowds. In the next room, they're amassing black garments for the monster 2020 show currently being crafted by British uber-designer Es Devlin.  The film drills deepest into preparations for a show about British mercantile expansion and its impact on interior design. Assistant curator Dr Wolf Burchard has been spirited from the National Trust to Fifth Avenue, his mission: to tell a 500-year story of enterprise from the Tudor to Victorian eras. The museum's existing British galleries are being remodelled for the occasion, and Burchard and his team must navigate the construction works to create a display of 700 items. They've got a £20m budget and seven months.  Two floors up, colleagues face similar time challenges as they build the keystone exhibition Making the Met. It tells the tale of the museum's 15 decades using objects from every department, and new ones donated by sponsors and benefactors. Outside, Austrian Max Hollein, only a few months in post, leads the drive to make the Met feel more modern, diverse and inclusive. For the first time since the austere Beaux-Arts building opened, niches in the exterior are filled with art - a series of bronzes by Kenyan-born artist Wangechi Mutu. She tells how groundbreaking this initiative is.  The Met is on a roll. We are with the glitterati flocking across the Upper East Side for a private viewing of the British exhibition. The public opening of the new galleries, on 2 March 2020, heralds the start of the 150th year programme. Curator Burchard says how strange it feels to have his galleries packed with thousands.  That very same night, the first victim of Covid-19 is in hospital. Within days, the Met will be the first large institution in the city to lock down. As New York becomes a ghost town, viewers are on the inside watching the museum trying to protect one million exhibits from light damage and moths, wrestling with 20 per cent staff cuts and losses of $150m, while working towards a reopening, sometime in an uncertain future. When that day comes, we witness emotional scenes that underline a truth: that New Yorkers regard the Met as their own. More than just a museum, it's a resource and a refuge.
Arts;Fake or Fortune? - Series 9: 3. Landseer;BBC, iPlayer, TV, Fake or Fortune?, Series 9: 3. Landseer;Has a painting by Landseer, thought destroyed by a flood in 1928, been rediscovered?;https://ichef.bbci.co.uk/images/ic/1200x675/p09qs727.jpg;59 mins;3531;9pm 11 Aug 2021;Has a painting by Landseer, thought destroyed by a flood in 1928, been rediscovered?;The team investigate a powerful scene of the aftermath of battle. Could it be a work by the Victorian artist Edwin Landseer that was previously thought to have been destroyed by a flood in 1928?;Fiona Bruce and Philip Mould investigate a painting that could be the work of the celebrated artist Sir Edwin Landseer. If it is, they will have rediscovered a much-loved Victorian masterpiece that was thought to have been destroyed by a catastrophic flood almost a century ago. The painting depicts the terrible aftermath of battle, with fallen soldiers and horses evoking the horror of war. The scene, known as Time of War, was first painted in 1846 by Landseer, the artist who created one of the most iconic images of 19th-century British art, The Monarch of the Glen, and whose lion sculptures still sit proudly in Trafalgar Square today. Landseer was an infant prodigy who became a favourite of Queen Victoria, and he painted the royal family and their beloved pets throughout his life.The painting is owned by Kathy and Barry Romeril, who bought it in 1987, when they were still married. Now divorced, the painting has stayed with Kathy at her home in Ascot, while Barry now lives in Florida. The couple first spotted the picture in a sale at Ascot racecourse and had no idea of any connection to Landseer. Kathy explains to Fiona and Philip that she has a love of horses and was moved to tears by the grey horse staring out at her in such a desperate state. She decided there and then that the painting was coming home with her, and she bid £720 to secure it. But if the painting is proven to be a lost national treasure by Landseer, it could be worth as much as £80,000. The original Time of War hung at the Tate gallery in London and was there in 1928 when the city suffered one of the worst disasters in its history. On the night of 7 January, the Thames burst its banks at Lambeth and crashed through the walls of the Embankment, flooding the houses that lined the river at that time. Fourteen people died, and thousands were left homeless. Water also surged into the lower galleries of the Tate, damaging hundreds of works from the national collection. By all accounts Time of War was destroyed - but was that really the case? Could Kathy and Barry’s picture be the lost Landseer? Fiona follows the clues through the archives to establish exactly what happened to Landseer’s original painting. It’s a trail with plenty of unexpected twists and turns, including the revelation that other pictures thought to have been destroyed that night most definitely were not. One very notable example is now on display at the National Gallery. Philip, meanwhile, scours the picture itself for evidence that this is the hand of Landseer. As he casts his expert eye over the large canvas, he can see that the painting has unquestionably been damaged in the past. Could it be evidence of the Tate flooding? The investigation gathers pace, and the evidence is presented, but will it be enough to prove that Kathy and Barry’s picture is a long-lost national treasure?
Arts;Intimations - 10. John le Carre;BBC, iPlayer, TV, Intimations, 10. John le Carre;John le Carre talks about his writing and the main influences on his work. (1966);https://ichef.bbci.co.uk/images/ic/1200x675/p091d3c9.jpg;30 mins;1796;8 Feb 1966;John le Carre talks about his writing and the main influences on his work. (1966);First transmitted in 1966, Malcolm Muggeridge talks to the novelist John le Carre, who at the age of 34 had written the best-seller The Spy Who Came In From The Cold.;"First transmitted in 1966, Malcolm Muggeridge talks to the novelist John le Carre, who at the age of 34 had written the best-seller The Spy Who Came In From The Cold. Although their conversation covers much about the author's influences and ambitions - with the notable exception of any mention of his time as a spy - much of the interview looks at the modern phenomenon of the secret service agent as a hero.In a revealing insight, le Carre explains that his dislike of James Bond stems from the fact that Bond doesn't exist in a political context, making him more of an ""international gangster"" than a spy. Although Malcolm Muggeridge talks about his own, very brief, period of spying, John le Carre remains close-lipped about his (much more extensive) career in espionage. Le Carre (real name David Cornwell) began working for MI5 in 1952 and transferred to MI6 in 1960. There he remained until 1964, when a combination of Kim Philby's defection, which exposed many British agents, and his own growing success as a novelist caused him to leave the secret service. Le Carre remained secretive about his former career for many decades."
Arts;Big Screen Britain: Brief Encounter;BBC, iPlayer, TV, Big Screen Britain: Brief Encounter;Ben Fogle visits Carnforth station, made famous by the classic film, Brief Encounter. ;https://ichef.bbci.co.uk/images/ic/1200x675/p08yw65t.jpg;15 mins;890;13 Jun 2003;Ben Fogle visits Carnforth station, made famous by the classic film, Brief Encounter.;Ben Fogle visits Carnforth station in Lancashire, which was made famous by the classic 1945 film, Brief Encounter.;No data found
Arts;Loop - Shorts: Embroidering Britain’s Lost Bees;BBC, iPlayer, TV, Loop, Shorts: Embroidering Britain’s Lost Bees;Loop meets an artist using embroidery to chart the decline of Britain’s bee population.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b3y7zw.jpg;5 mins;279;16 Nov 2021;Loop meets an artist using embroidery to chart the decline of Britain’s bee population.;Loop meets the Edinburgh-based artist who has been charting the decline of Britain’s bee population using embroidery.;Edinburgh-based embroiderer Tzipporah Johnston has always used her artwork as a means of communicating a message that is important to her.Her latest project, the Beerometer, charts the decline of Britain’s bee population from 1920 onwards in three separate intricately embroidered works, focusing particularly on the shrinking diversity of bumblebee species due to habitat destruction and climate change.Her bees will form part of a triptych three embroidery hoops mapping bee species diversity in 1920, 2020 and a grim prediction for 2120.
Arts;Civilisation - 11. The Worship of Nature;BBC, iPlayer, TV, Civilisation, 11. The Worship of Nature;Kenneth Clark examines the belief in the divinity of nature.;https://ichef.bbci.co.uk/images/ic/1200x675/p04xl4lw.jpg;50 mins;2985;8:15pm 4 May 1969;Kenneth Clark examines the belief in the divinity of nature.;Kenneth Clark examines a new force - the belief in the divinity of nature. Clark visits Tintern Abbey and the Alps, and discusses the landscape paintings of Turner and Constable.;Kenneth Clark examines a new force - the belief in the divinity of nature. This takes him to Tintern Abbey and the Lake District of Wordsworth, to the Swiss Alps and the ideas of Rousseau, and to the landscapes of Turner and Constable.
Arts;Art on the BBC - Series 2: 1. The Great Salvador Dali;BBC, iPlayer, TV, Art on the BBC, Series 2: 1. The Great Salvador Dali;David Dibosa explores the BBC archives to create a television history of Salvador Dali.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bc6092.jpg;59 mins;3536;9pm 3 Jan 2022;David Dibosa explores the BBC archives to create a television history of Salvador Dali.;Art historian David Dibosa explores the BBC archives to create a television history of one of art's greatest showmen, Salvador Dali.;Art historian David Dibosa examines six decades of BBC archive material to create a television history of Salvador Dali. Often called art's greatest showman and the world's first celebrity artist, Dali shamelessly used TV to promote his art and himself. Dali's striking, dreamlike images made his name synonymous with surrealism, and he shocked the world through film, fashion, sculpture and architecture.In this account, David hunts through dozens of BBC programmes to try to understand the real Salvador Dali, not just the more familiar eccentric show-off. Taking in films presented down the decades by Robert Hughes, Sister Wendy and Philippa Perry, David's rich dive into the archives, including Dali’s own films, reveals how our understanding of the artist has changed dramatically over the years.Whatever the era, Dali has always been important to programme makers – so much so that on BBC Four’s launch night in 2002, one of the broadcasts was a star-studded and surreal comic exploration of Dali's early career, featuring Stephen Fry, Matt Lucas and Ewen Bremner. David also delves into Dali's fractured relationship with the surrealists and his own family, and his life-long passion for his wife Gala, who was the engine behind his later career and helped him take America by storm.
Arts;Inside Cinema - Shorts: 61. Cameo Overload;BBC, iPlayer, TV, Inside Cinema, Shorts: 61. Cameo Overload;Ali Plumb explores how a movie in-joke has now become a key part of the franchise toolkit;https://ichef.bbci.co.uk/images/ic/1200x675/p09kthft.jpg;8 mins;454;9 Jun 2021;Ali Plumb explores how a movie in-joke has now become a key part of the franchise toolkit;Ali Plumb explores how a movie in-joke has become a key part of the franchise toolkit, from the days of Hitchcock appearing in his own films, to the interconnected Marvel Universe;Ali Plumb explores how a movie in-joke has now become a key part of the blockbuster franchise toolkit, from the days of Hitchcock appearing in his own films, to the interconnected Marvel Cinematic Universe. Using examples from over 60 films (blink and you'll miss them!), Ali breaks down the many types of cameo we see on the big screen, from celebrities to Stan Lee, while wondering if, in a world where these small appearances happen so often, they still surprise and delight us.
Arts;Loop - Shorts: 17. Loop - I Spent Lockdown Making Pots With My Dad  ;BBC, iPlayer, TV, Loop, Shorts: 17. Loop - I Spent Lockdown Making Pots With My Dad  ;Caitlin joins forces with her ceramist father to take up the family trade in lockdown.;https://ichef.bbci.co.uk/images/ic/1200x675/p09g9dd3.jpg;6 mins;355;4 May 2021;Caitlin joins forces with her ceramist father to take up the family trade in lockdown.;Caitlin Foulds used lockdown as an opportunity to learn how to become a ceramist like her father Adrian. Working out of the family basement in Glasgow, together they went on to grow their business.;When lockdown hit, Caitlin Foulds was forced to abandon the travel plans she’d made after university and instead moved home to take an apprenticeship with her dad Adrian learning how to make pottery.  Working out of their cellar in Glasgow, the pair then went on to to establish Pots from Scots, making an impressive variety of styles inspired by Scotland, body shapes and more. Combining Adrian’s technical knowledge and love of glazing with Caitlin’s vision on how to modernise her father’s style, their work is now sold locally and online.
Arts;Fake or Fortune? - Series 9: 1. A Sculpture in the Brambles;BBC, iPlayer, TV, Fake or Fortune?, Series 9: 1. A Sculpture in the Brambles;Could a sculpture found in the long grass of a Norfolk home be a work by Henry Moore?;https://ichef.bbci.co.uk/images/ic/1200x675/p09q07zr.jpg;59 mins;3542;9pm 28 Jul 2021;Could a sculpture found in the long grass of a Norfolk home be a work by Henry Moore?;A sculpture found in the long grass of a Norfolk home bears striking similarities to the work of Henry Moore. Could it be a lost work by one of the greatest 20th-century artists?;Fiona Bruce and Philip Mould head to the beautiful Norfolk countryside on the trail of one of the 20th century’s greatest artists, Henry Moore. They are investigating an intriguing sculpture that belongs to retired dairy farmer Neil Betts and his wife Barbara, who, over the years, have used the piece as a doorstop and even a water feature, when Neil draped a hosepipe over it. t was only when a friend suggested it looked very much like the work of Henry Moore that the Betts began to see it in a different light – and started to call it Henry.   Neil and Barbara inherited the sculpture from their former neighbour, Mrs Williams, who at that time lived next door to them at Mergate Hall near Norwich. The sculpture had been found in the long grass of the grounds of the hall when Neil had struck it with his strimmer while helping the Williams family clear the garden. When Mrs Williams died, she left it to the Betts along with all of her possessions.  Things got off to a promising start when Neil and Barbara sent photographs of the sculpture to the Henry Moore Foundation in Perry Green, Hertfordshire. The foundation has the authority to decide whether previously uncatalogued pieces are genuine works by Moore, and they were interested enough in the Betts’ piece to ask them to submit it to their review panel. But first the Fake or Fortune? team are helping the Betts research this distinctive piece and compile a dossier of evidence.  There’s a huge amount at stake. If this is a unique piece by Henry Moore, it could be worth up to £1 million. But if it’s not, then it’s probably worth just a few thousands. The stakes have never been so high for the team.
Arts;Daniel O’Donnell - The Boy from Donegal;BBC, iPlayer, TV, Daniel O’Donnell - The Boy from Donegal;Documentary marking Daniel O’Donnell’s 60th birthday, with access to his recent tours.;https://ichef.bbci.co.uk/images/ic/1200x675/p0b9rbg6.jpg;59 mins;3535;10:35pm 28 Dec 2021;Documentary marking Daniel O’Donnell’s 60th birthday, with access to his recent tours.;An illuminating documentary marking singer Daniel O’Donnell’s 60th birthday, looking back at his life and 40 years as an entertainer, with exclusive access to his recent UK and US tours.;As Daniel O’Donnell celebrates his 60th birthday, we hear the real story behind the rise of the popular singer, from his boyhood in Kincasslagh, Donegal, to success as an internationally celebrated entertainer. The film features in-depth interviews and exclusive access behind the scenes to Daniel’s dressing room and tour bus during his recent UK and US tour, including his triumphant return to Branson, Missouri. With contributions from friends, colleagues and fans who have played an important role in his private and professional life over the years, their anecdotes reveal how life was not always so sweet for Daniel. Fascinating archive takes viewers on a trip down memory lane, charting his early days in tiny venues across Ireland to sell-out arena shows across the world.
Arts;Civilisation - 9. The Pursuit of Happiness;BBC, iPlayer, TV, Civilisation, 9. The Pursuit of Happiness;Kenneth Clark looks at the influence of 18th Century music on rococo architecture.;https://ichef.bbci.co.uk/images/ic/1200x675/p050fnbl.jpg;50 mins;2999;8:15pm 20 Apr 1969;Kenneth Clark looks at the influence of 18th Century music on rococo architecture.;Kenneth Clark reflects on the nature of the 18th Century music, and how some of its qualities are reflected in rococo architecture, the pilgrimage churches and palaces of Bavaria.;Kenneth Clark reflects on the 18th Century music of Bach, Handel, Haydn and Mozart, and on the way that some of its qualities are reflected in the best of the rococo architecture, the pilgrimage churches and palaces of Bavaria.
Arts;Monitor - Joe Tilson;BBC, iPlayer, TV, Monitor, Joe Tilson;Monitor meets artist Joe Tilson, who gains inspiration from the modern world. (1964);https://ichef.bbci.co.uk/images/ic/1200x675/p03027n7.jpg;14 mins;860;1 Dec 1964;Monitor meets artist Joe Tilson, who gains inspiration from the modern world. (1964);Monitor meets artist Joe Tilson, who gains inspiration from the modern world. (1964);Joe Tilson became one of the leading figures associated with the British Pop Art movement during the 1960s. The artist talks about gaining inspiration for his work from the modern world around him including neon signs, advertising hoardings and posters. (1964)
Arts;New Creatives - STONEWALL 2069;BBC, iPlayer, TV, New Creatives, STONEWALL 2069;A short docufantasy film imagining how bio-tech could influence gay rights in the future.;https://ichef.bbci.co.uk/images/ic/1200x675/p09j7wvf.jpg;5 mins;319;11 Jun 2021;A short docufantasy film imagining how bio-tech could influence gay rights in the future.;This fantasy art film imagines what the next fifty years of queer liberation might look like, specifically how technology might be used in the continuing fight for equal rights.;In 1969 a police raid of a gay bar in New York led to three days of riots known as the Stonewall Uprising, sparking the modern day gay liberation movement. More than fifty years later many countries have legalised same sex marriage while more than 70 others still criminalise homosexuality.This fantasy art film imagines what the next fifty years of queer liberation might look like, specifically how technology might be used in the continuing fight for equal rights. New Creatives is supported by Arts Council England and BBC Arts.A FILM BY  - SAMUEL DOUEK SCIENCE FICTION ARTIST - ESMAY WAGEMANS  3D ANIMATOR - SAMUEL ALDRIDGE DIRECTOR OF PHOTOGRAPHY - JACK HAMILTON PRODUCTION DESIGN - SACHA NICETTE PERFORMER - SAKEEMA CROOK STYLING AND CASTING - JOEL PAMER AND THEO MADDIX  HAIR - PATRICK PAPAJ  SOUNDTRACK - J ARIA  SOUND MIX - GUY CHASE INTERVIEWEES - AMELIA ABRAHAM  ESMAY WAGEMANS  SOPHIE THE ROBOT  THOMAS FRANCISCO  TIMOTHY SMITH
Arts;Britain's Lost Masterpieces - Series 5: 1. Brighton;BBC, iPlayer, TV, Britains Lost Masterpieces, Series 5: 1. Brighton;Bendor Grosvenor and Emma Dabiri investigate two paintings of characters from the gospels.;https://ichef.bbci.co.uk/images/ic/1200x675/p09614zq.jpg;59 mins;3540;9pm 1 Feb 2021;Bendor Grosvenor and Emma Dabiri investigate two paintings of characters from the gospels.;Bendor Grosvenor and Emma Dabiri visit Brighton Museum to investigate who painted two religious pictures and uncover the story of one of the most extravagant buildings in Britain.;Bendor Grosvenor and Emma Dabiri visit Brighton Museum to investigate who painted two neglected pictures of religious subjects.Bendor believes a grubby image of Mary Magdalene repenting her sins may be by a forgotten master of the Roman baroque, Francesco Trevisani. Emma visits the Fitzwilliam Museum in Cambridge to hear how a medieval pope confused the biblical accounts and gave Mary a completely invented personality.Bendor then travels to Rome to search for traces of Trevisani, while Emma investigates how Brighton’s lavishly decorated Royal Pavilion ended up an empty shell, ransacked and sold to the local council. The second picture is a sympathetic portrayal of Balthazar, a prince and one of the wise men from the Christmas story, which Bendor thinks may be by 16th-century Antwerp master Joos van Cleve. Examination reveals that it was once the left-hand door of a folding altarpiece. Bendor goes on to Edinburgh to see a similar altar, the finest work by van Cleve in Britain. Emma meets Rev Richard Coles to find out how, despite the lack of any description in the Bible, it became traditional to portray Balthazar as a black African.
Arts;imagine... - Spring 2006: 4. A Picture of the Painter Howard Hodgkin;BBC, iPlayer, TV, imagine..., Spring 2006: 4. A Picture of the Painter Howard Hodgkin;A profile of Howard Hodgkin, one of Britains most successful living painters.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bh7qjn.jpg;53 mins;3160;13 Jun 2006;A profile of Howard Hodgkin, one of Britain's most successful living painters.;Alan Yentob presents a profile of Howard Hodgkin, one of Britain's most successful living painters, but one who doesn't like talking about his work or letting people see him paint.;Alan Yentob presents a profile of painter Howard Hodgkin. Despite being one of Britain's most successful living artists, he doesn't like talking about his work and no one has seen him paint for over 20 years. With a major retrospective coming up at Tate Britain, he travels with Yentob to India, which has been described as his emotional lifeline. They seek out some of the great monuments of the Mogul empire, visit Hodgkin's huge mural in New Delhi, and go in search of the perfect Bombay sunset.
Arts;Mysteries of the Bayeux Tapestry;BBC, iPlayer, TV, Mysteries of the Bayeux Tapestry;Experts from archaeologists to astrophysicists offer new insights on the Bayeux Tapestry.;https://ichef.bbci.co.uk/images/ic/1200x675/p0bvb0tk.jpg;59 mins;3555;9pm 22 Mar 2022;Experts from archaeologists to astrophysicists offer new insights on the Bayeux Tapestry.;Experts from archaeologists to astrophysicists offer new insights on the Bayeux Tapestry, an artefact which, despite its fame, has remained shrouded in mystery.;The Bayeux Tapestry is a remarkable and unique work of art that has survived for almost 1,000 years. Made in the 11th century, it tells the story of William of Normandy’s claim to the English throne, culminating in the Norman invasion of England and the Battle of Hastings.Surprisingly for an object of its size, the Bayeux Tapestry is not mentioned in any contemporary records. So where does it come from? Who made it and why? Archaeologists, historians, biologists, anthropologists and even astrophysicists are unlocking some of the tapestry’s mysteries to understand better the story it tells us about England and France at that time.  At nearly 70 metres in length, the Bayeux Tapestry includes 623 characters, hundreds of animals and a wide diversity of scenes depicting everyday life and epic events. It is a treasure trove of information, offering an extraordinary insight into a pivotal moment in history.
Arts;Building Sights - Series 4: 4. Humber Bridge;BBC, iPlayer, TV, Building Sights, Series 4: 4. Humber Bridge;Poet Simon Armitage finds inspiration in the Humber Bridge. (1996);https://ichef.bbci.co.uk/images/ic/1200x675/p01rrq91.jpg;9 mins;555;10 Jun 1996;Poet Simon Armitage finds inspiration in the Humber Bridge. (1996);First transmitted in 1996, the poet Simon Armitage finds inspiration in the Humber Bridge.;First transmitted in 1996, the poet Simon Armitage finds inspiration in the Humber Bridge, then the longest suspension bridge in the world.
